 * Serving Flask app 'app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
set remote count:  {'faas-router-f': 0, 'faas-router-g': 0, 'faas-router-h': 0, 'faas-router-hb': 0}
